Date,ID_actor,Time,Event,ID_attending1,ID_attending2,ID_attending3,ID_attending4,ID_attending5,ID_attending6,ID_attending7,ID_attending8,ID_attending9,ID_Attending10
26.06.18,Mhao,07:35:01,scms,Arn,,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Mhao,07:35:12,scms,Arn,,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Mhao,07:35:21,epm,Arn,,,,,,,,,
,,,,,,,,,,,,,
05.07.18,Amg,07:09:55,eop,,,,,,,,,,
,,,,,,,,,,,,,
05.07.18,Mhao,07:23:04,eop,Ness,Yalu,Aara,Lif,,,,,,
,,,,,,,,,,,,,
05.07.18,Mhao,07:23:04,eop,Ness,Yalu,Yamu,,,,,,,
,,,,,,,,,,,,,
05.07.18,Mhao,07:23:37,eop,Lif,Yalu,Aara,Yamu,Arn,,,,,
,,,,,,,,,,,,,
05.07.18,Mhao,07:23:37,eop,Yamu,Aara,Arn,Lif,Nah,Yara,Mal,,,
,,,,,,,,,,,,,
05.07.18,Amg,07:25:57,eop,Ness,Nah,,,,,,,,
,,,,,,,,,,,,,
05.07.18,Amg,07:26:01,eop,Ness,,,,,,,,,
,,,,,,,,,,,,,
05.07.18,Mhao,07:44:32,eop,,,,,,,,,,
,,,,,,,,,,,,,
11.07.18,Baby,06:52:19,eop,Lif,,,,,,,,,
,,,,,,,,,,,,,
11.07.18,Yuko,06:52:40,g,,,,,,,,,,
,,,,,,,,,,,,,
11.07.18,Amg,06:55:50,eop,Nah,,,,,,,,,
,,,,,,,,,,,,,
11.07.18,Amg,06:57:00,eop,,,,,,,,,,
,,,,,,,,,,,,,
11.07.18,Nah,06:57:12,acmt,Mal,,,,,,,,,
,,,,,,,,,,,,,
11.07.18,Nah,06:57:15,acmt,Mal,Amg,,,,,,,,
,,,,,,,,,,,,,
11.07.18,Amg,06:57:58,eop,Nah,Yze,,,,,,,,
,,,,,,,,,,,,,
11.07.18,Yara,06:59:07,acms,,,,,,,,,,
,,,,,,,,,,,,,
11.07.18,Nah,06:59:11,gop,,,,,,,,,,
,,,,,,,,,,,,,
11.07.18,Aar,06:59:28,acms,,,,,,,,,,
,,,,,,,,,,,,,
11.07.18,Aar,06:59:38,acms,,,,,,,,,,
,,,,,,,,,,,,,
11.07.18,Aar,06:59:42,scms,,,,,,,,,,
,,,,,,,,,,,,,
11.07.18,Aar,06:59:52,epm,,,,,,,,,,
,,,,,,,,,,,,,
11.07.18,Yara,07:01:08,acms,Nah,Aara,,,,,,,,
,,,,,,,,,,,,,
11.07.18,Yara,07:01:16,scms,Nah,Aara,,,,,,,,
,,,,,,,,,,,,,
11.07.18,Mhao,07:08:06,scms,,,,,,,,,,
,,,,,,,,,,,,,
11.07.18,Mhao,07:08:12,epm,,,,,,,,,,
,,,,,,,,,,,,,
11.07.18,Mhao,07:09:36,eph,,,,,,,,,,
,,,,,,,,,,,,,
11.07.18,Mhao,07:18:20,acmt,,,,,,,,,,
,,,,,,,,,,,,,
11.07.18,Mhao,07:18:23,acms,,,,,,,,,,
,,,,,,,,,,,,,
11.07.18,Mhao,07:18:29,scms,,,,,,,,,,
,,,,,,,,,,,,,
11.07.18,Mhao,07:18:32,epm,,,,,,,,,,
,,,,,,,,,,,,,
11.07.18,Mhao,07:18:46,epm,,,,,,,,,,
,,,,,,,,,,,,,
11.07.18,Mhao,07:19:31,acmt,Yuko,Arn,,,,,,,,
,,,,,,,,,,,,,
11.07.18,Mhao,07:19:34,scms,Yuko,Arn,,,,,,,,
,,,,,,,,,,,,,
11.07.18,Mhao,07:19:36,scms,Yuko,Arn,,,,,,,,
,,,,,,,,,,,,,
11.07.18,Mhao,07:19:37,epm,Yuko,Arn,,,,,,,,
,,,,,,,,,,,,,
11.07.18,Mhao,07:19:40,epm,Yuko,Arn,,,,,,,,
,,,,,,,,,,,,,
11.07.18,Mhao,07:23:51,scms,Mokc,,,,,,,,,
,,,,,,,,,,,,,
11.07.18,Mhao,07:23:52,scms,Mokc,,,,,,,,,
,,,,,,,,,,,,,
11.07.18,Mhao,07:23:57,epm,Mokc,,,,,,,,,
,,,,,,,,,,,,,
11.07.18,Mhao,07:23:58,epm,Mokc,,,,,,,,,
,,,,,,,,,,,,,
11.07.18,Arn,07:26:06,gop,Mhao,,,,,,,,,
,,,,,,,,,,,,,
11.07.18,Arn,07:26:10,eop,Mhao,,,,,,,,,
,,,,,,,,,,,,,
11.07.18,Arn,07:26:14,eop,Mhao,,,,,,,,,
,,,,,,,,,,,,,
11.07.18,Mhao,07:26:16,scms,,,,,,,,,,
,,,,,,,,,,,,,
11.07.18,Mhao,07:26:22,epm,,,,,,,,,,
,,,,,,,,,,,,,
18.07.18,Aara,06:55:32,g,,,,,,,,,,
,,,,,,,,,,,,,
18.07.18,Baby,06:55:58,g,,,,,,,,,,
,,,,,,,,,,,,,
18.07.18,Baby,06:56:10,g,,,,,,,,,,
,,,,,,,,,,,,,
18.07.18,Aar,06:57:52,g,,,,,,,,,,
,,,,,,,,,,,,,
18.07.18,Aar,06:58:24,acms,,,,,,,,,,
,,,,,,,,,,,,,
18.07.18,Nah,07:06:35,g,Yara,Mal,,,,,,,,
,,,,,,,,,,,,,
18.07.18,Yze,07:19:10,g,,,,,,,,,,
,,,,,,,,,,,,,
18.07.18,Yze,07:19:13,g,,,,,,,,,,
,,,,,,,,,,,,,
18.07.18,Aar,07:21:13,acms,,,,,,,,,,
,,,,,,,,,,,,,
18.07.18,Aar,07:21:14,acmt,,,,,,,,,,
,,,,,,,,,,,,,
18.07.18,Aar,07:21:23,acms,Yalu,,,,,,,,,
,,,,,,,,,,,,,
18.07.18,Aar,07:21:26,scms,Yalu,,,,,,,,,
,,,,,,,,,,,,,
18.07.18,Yze,07:21:33,eop,Yara,,,,,,,,,
,,,,,,,,,,,,,
18.07.18,Yara,07:22:08,gop,Yze,,,,,,,,,
,,,,,,,,,,,,,
18.07.18,Yze,07:22:11,g,Yara,,,,,,,,,
,,,,,,,,,,,,,
18.07.18,Yze,07:22:21,acms,,,,,,,,,,
,,,,,,,,,,,,,
18.07.18,Aar,07:23:29,scms,Mhao,Yalu,,,,,,,,
,,,,,,,,,,,,,
18.07.18,Aar,07:23:39,acms,Mhao,Yalu,,,,,,,,
,,,,,,,,,,,,,
18.07.18,Aar,07:23:42,scms,Mhao,Yalu,,,,,,,,
,,,,,,,,,,,,,
04.08.18,Amg,06:38:58,g,Lif,Yuko,Yze,Aara,,,,,,
,,,,,,,,,,,,,
04.08.18,Yze,06:39:12,g,Lif,Yuko,Amg,,,,,,,
,,,,,,,,,,,,,
04.08.18,Yze,06:39:20,acms,Lif,,,,,,,,,
,,,,,,,,,,,,,
04.08.18,Amg,06:39:35,eop,Lif,,,,,,,,,
,,,,,,,,,,,,,
04.08.18,Yuko,06:39:41,scms,Amg,Aare,Yara,Mhao,,,,,,
,,,,,,,,,,,,,
04.08.18,Aara,06:40:16,ach,Lif,Amg,Aare ,Yalu,,,,,,
,,,,,,,,,,,,,
