Date,ID_actor,Time,Event,ID_attending1,ID_attending2,ID_attending3,ID_attending4,ID_attending5,ID_attending6,ID_attending7,ID_attending8,ID_attending9,ID_Attending10,ID_Attending11
07.06.18,Can,06:47:52,gop,Xala,Pro,Upps,Avo,,,,,,,
,,,,,,,,,,,,,,
07.06.18,Can,06:47:54,gop,Xala,Pro,Upps,Avo,,,,,,,
,,,,,,,,,,,,,,
07.06.18,Can,06:48:02,gopr,Xala,Pro,Upps,Avo,,,,,,,
,,,,,,,,,,,,,,
07.06.18,Can,06:48:12,eop,Xala,Ula,Upps,Avo,,,,,,,
,,,,,,,,,,,,,,
07.06.18,Can,06:48:16,gopr,Xala,Ula,Upps,Avo,,,,,,,
,,,,,,,,,,,,,,
07.06.18,Can,06:48:21,gopr,Xala,Ula,Upps,Avo,,,,,,,
,,,,,,,,,,,,,,
07.06.18,Xala,06:48:23,gop,Can,Ula,Upps,Avo,,,,,,,
,,,,,,,,,,,,,,
07.06.18,Can,06:48:31,eop,Xala,Ula,Upps,Avo,Pye,Twe,Gran,Pru,Xal,,
,,,,,,,,,,,,,,
07.06.18,Xala,06:48:45,gop,Can,Upps,Avo,Ura,Twe,Gran,Pru,Xal,,,
,,,,,,,,,,,,,,
07.06.18,Xala,06:48:51,gop,Can,Upps,Avo,Ura,Twe,Gran,Pru,Xal,,,
,,,,,,,,,,,,,,
07.06.18,Xala,06:48:55,gop,Can,Upps,Avo,Ura,Twe,Gran,Pru,Xal,,,
,,,,,,,,,,,,,,
07.06.18,Can,06:49:03,eop,Xala,Upps,Avo,Ura,Twe,Gran,Pru,Xal,,,
,,,,,,,,,,,,,,
07.06.18,Xala,06:49:15,gop,Can,Upps,Avo,Ura,Twe,Gran,Pru,Xal,,,
,,,,,,,,,,,,,,
07.06.18,Xala,06:49:24,g,Can,Upps,Avo,Ura,Twe,Gran,Pru,Xal,,,
,,,,,,,,,,,,,,
07.06.18,Xala,06:49:27,gop,Can,Upps,Avo,Ura,Twe,Gran,Pru,Xal,Xia,,
,,,,,,,,,,,,,,
07.06.18,Xia,06:49:42,eop,Can,Upps,Avo,Xala,,,,,,,
,,,,,,,,,,,,,,
07.06.18,Xia,06:50:02,eop,Can,Upps,,,,,,,,,
,,,,,,,,,,,,,,
07.06.18,Xia,06:50:07,eop,Can,Upps,Avo,Praia,Ula,Pro,,,,,
,,,,,,,,,,,,,,
07.06.18,Prai,06:51:38,gop,Can,Pru,Avo,,,,,,,,
,,,,,,,,,,,,,,
07.06.18,Pru,06:51:55,acmt,Can,,,,,,,,,,
,,,,,,,,,,,,,,
07.06.18,Pru,06:52:25,gop,Can,,,,,,,,,,
,,,,,,,,,,,,,,
07.06.18,Bela,06:53:37,gop,,,,,,,,,,,
,,,,,,,,,,,,,,
07.06.18,Bela,06:53:55,g,,,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Gran,06:57:08,eop,,,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Gran,06:58:01,eop,,,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Gran,06:58:20,eop,Gene,Guat,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:58:25,gop,Gran,Guat,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Gran,06:58:30,eop,Gene,Guat,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Guat,06:58:30,eop,Gran,Gene,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Guat,06:58:32,gop,Gran,Gene,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:58:35,eop,Gran,Guat,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:58:37,eop,Gran,Guat,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Gran,06:58:38,eop,Gene,Guat,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:58:39,eop,Gran,Guat,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:58:41,gopr,Gran,Guat,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Gran,06:58:42,eop,Gene,Guat,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:58:42,eop,Gran,Guat,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Guat,06:58:42,gop,Gran,Gene,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:58:43,eop,Gran,Guat,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:58:44,eop,Gran,Guat,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:58:46,eop,Gran,Guat,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:58:48,gopr,Gran,Guat,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:58:49,eop,Gran,Guat,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Gran,06:58:50,eop,Gene,Guat,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:58:51,gopr,Gran,Guat,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:58:51,eop,Gran,Guat,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Guat,06:58:51,acms,Gran,Gene,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Gran,06:58:53,eop,Gene,Guat,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:58:53,eop,Gran,Guat,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Guat,06:58:53,scms,Gran,Gene,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:58:54,eop,Gran,Guat,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:58:55,eop,Gran,Guat,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:58:56,eop,Gran,Guat,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:58:58,eop,Gran,Guat,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:58:59,eop,Gran,Guat,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:59:00,eop,Gran,Guat,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:59:01,eop,Gran,Guat,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gran,06:59:02,eop,Gene,Guat,Pro,Cus,Bela ,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:59:04,eop,Gran,Guat,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:59:05,gopr,Gran,Guat,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:59:05,eop,Gran,Guat,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gran,06:59:07,eop,Gene,Guat,Pro,Cus,Bela ,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:59:07,eop,Gran,Guat,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:59:08,eop,Gran,Guat,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:59:09,eop,Gran,Guat,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:59:11,eop,Gran,Guat,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:59:12,eop,Gran,Guat,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:59:12,eop,Gran,Guat,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:59:15,eop,Gran,Guat,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:59:16,eop,Gran,Guat,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gran,06:59:17,eop,Gene,Guat,Pro,Cus,Bela ,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:59:17,eop,Gran,Guat,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gran,06:59:18,eop,Gene,Guat,Pro,Cus,Bela ,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:59:19,eop,Gran,Guat,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:59:20,eop,Gran,Guat,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:59:21,eop,Gran,Guat,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:59:22,eop,Gran,Guat,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:59:24,eop,Gran,Guat,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:59:34,eop,Gran,Guat,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:59:36,eop,Gran,Guat,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gran,06:59:38,eop,Gene,Guat,Pro,Cus,Bela ,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:59:39,eop,Gran,Guat,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Guat,06:59:39,eop,Gran,Gene,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:59:41,eop,Gran,Guat,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Guat,06:59:41,eop,Gran,Gene,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:59:42,eop,Gran,Guat,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gran,06:59:43,eop,Gene,Guat,Pro,Cus,Bela ,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:59:45,eop,Gran,Guat,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:59:46,eop,Gran,Guat,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:59:50,eop,Gran,Guat,Pro,Cus,Bela,Pru,,,,,
